dt     Re(F(t))  Im(F(t))
0.0000    2.000000   0.000000
0.2500    1.955398   -0.363003
0.5000    1.824856   -0.702580
0.7500    1.617905   -0.997109
1.0000    1.349595   -1.228439
1.2500    1.039311   -1.383272
1.5000    0.709252   -1.454164
1.7500    0.382688   -1.440061
2.0000    0.082146   -1.346328
2.2500    -0.172345   -1.184267
2.5000    -0.364791   -0.970167
2.7500    -0.484458   -0.723965
3.0000    -0.526653   -0.467618
3.2500    -0.493028   -0.223330
3.5000    -0.391374   -0.011757
3.7500    -0.234914   0.149642
4.0000    -0.041171   0.247994
4.2500    0.169514   0.276026
4.5000    0.375682   0.232609
4.7500    0.556544   0.122817
5.0000    0.693704   -0.042532
5.2500    0.772687   -0.247802
5.5000    0.784143   -0.473847
5.7500    0.724632   -0.699620
6.0000    0.596920   -0.903927
6.2500    0.409772   -1.067198
6.5000    0.177256   -1.173132
6.7500    -0.082398   -1.210073
7.0000    -0.348274   -1.172017
7.2500    -0.598476   -1.059156
7.5000    -0.811920   -0.877929
7.7500    -0.970067   -0.640557
8.0000    -1.058465   -0.364112
8.2500    -1.067963   -0.069191
8.5000    -0.995508   0.221704
8.7500    -0.844460   0.485950
9.0000    -0.624384   0.702595
9.2500    -0.350363   0.854040
9.5000    -0.041850   0.927451
9.7500    0.278817   0.915798
10.0000    0.588140   0.818447
10.2500    0.863286   0.641233
10.5000    1.083853   0.396032
10.7500    1.233456   0.099857
11.0000    1.300994   -0.226463
11.2500    1.281496   -0.559889
11.5000    1.176492   -0.876966
11.7500    0.993861   -1.155634
12.0000    0.747188   -1.376930
12.2500    0.454664   -1.526442
12.5000    0.137634   -1.595393
12.7500    -0.181104   -1.581276
13.0000    -0.479107   -1.487991
13.2500    -0.736050   -1.325462
13.5000    -0.935322   -1.108787
13.7500    -1.065307   -0.856972
14.0000    -1.120257   -0.591357
14.2500    -1.100695   -0.333864
14.5000    -1.013300   -0.105212
14.7500    -0.870301   0.076772
15.0000    -0.688419   0.198595
15.2500    -0.487449   0.252181
15.5000    -0.288594   0.235511
15.7500    -0.112686   0.152769
16.0000    0.021556   0.013978
16.2500    0.099102   -0.165842
16.5000    0.109877   -0.367924
16.7500    0.049628   -0.571312
17.0000    -0.079680   -0.754603
17.2500    -0.269985   -0.897733
17.5000    -0.507739   -0.983652
17.7500    -0.774971   -0.999770
18.0000    -1.050717   -0.939042
18.2500    -1.312698   -0.800606
18.5000    -1.539114   -0.589932
18.7500    -1.710412   -0.318455
